team,total_losses,cumulative_onball_threat,cumulative_support_threat,defensive_coverage_area_at_loss_avg,spread_at_loss_avg,vertical_compactness_at_loss_avg,horizontal_compactness_at_loss_avg,number_of_defenders_behind_the_ball_at_loss_avg,attackers_distance_to_goal_avg,avg_onball_threat,avg_support_threat
Arsenal,757,9.08,3.03,96.17,10.76,23.54,4.45,2.75,16.77,0.012920519,0.004150104
Aston Villa,625,10.62,3.12,92.29,9.57,20.61,4.46,2.51,17.39,0.018037899,0.004995976
Bournemouth,664,13.94,3.98,101.88,9.79,20.96,4.82,2.66,17.53,0.02246763,0.006342414
Brentford,663,11.93,3.32,100.02,10.32,23.7,5.03,3.02,18.33,0.019292308,0.004404221
Brighton and Hove Albion,721,10.82,3.6,91.89,10.18,22.77,4.32,2.74,17.92,0.01614,0.003746967
Chelsea,683,10.93,2.73,105.43,10.69,25.17,5.15,2.79,18.41,0.017909888,0.004362437
Crystal Palace,599,8.98,3,93.77,9.2,20.58,4.77,2.65,18.61,0.016486264,0.004882449
Everton,642,10.27,3.85,82.95,9.53,19.29,4.26,2.41,18.72,0.017525941,0.006020028
Fulham,705,11.28,2.82,96.11,11.1,24.07,4.24,2.44,17.96,0.016624498,0.004581399
Ipswich Town,562,7.31,2.25,108.62,10.17,21.38,5.03,2.74,18.19,0.015482189,0.003690708
Leicester City,620,9.3,2.48,106.34,10.54,22.2,5,2.63,17.69,0.016860889,0.00446028
Liverpool,730,14.6,3.65,102.41,10.72,24.03,4.65,2.79,18.44,0.020518,0.005124769
Manchester City,801,11.21,2.4,103.37,10.44,22.97,4.37,2.7,17.41,0.014078261,0.003689024
Manchester United,667,9.34,2.67,111.04,10.74,23.64,4.93,2.67,17.82,0.014834446,0.003807126
Newcastle United,698,13.26,4.89,103.92,10.67,22.59,4.54,2.58,17.32,0.020001779,0.006033169
Nottingham Forest,573,9.17,2.86,106.45,10.58,22.14,4.93,2.58,17.92,0.017116167,0.004930786
Southampton,593,5.93,1.78,108.04,10.01,21.65,4.79,2.71,17.9,0.010413777,0.002663421
Tottenham Hotspur,692,10.38,3.46,95.42,10.6,23.48,4.46,2.63,17.51,0.015121441,0.004322145
West Ham United,640,10.24,2.56,91.68,9.91,21.31,4.49,2.61,18.5,0.016358,0.003885551
Wolverhampton Wanderers,606,10.91,3.03,93.44,10.01,21.71,4.52,2.5,17.86,0.020373535,0.004585714
